"","X","Bird.ID","Date","x","y","week","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water"
"95",1084,"162.053_220257","2022-09-06",-78.0035371894163,34.0646114328458,36,0,1,"billjones",1,-0.187757051364387,-0.0689663939024461,-0.499698781722315,0.920411003183119,-0.503251100114711,-0.281902246503874,0.0402935403969139,-0.369731237945899,-0.611102139316153,-0.80878705549952,-0.419441287797177,1.04481631962801
"106",1095,"162.053_220257","2022-09-14",-77.9990247186231,34.0510315628378,NA,0,0,"billjones",1,-0.372380191741051,0.928681100245939,-0.499698781722315,-0.336764062543557,-0.503251100114711,-0.281902246503874,-0.894030211024901,-0.548215286088905,-0.43244306266801,-0.285661239737111,0.498917605163872,-0.320632547811795
"107",1096,"162.053_220257","2022-09-26",-78.0035380248495,34.0643039910296,39,0,1,"billjones",1,0.616138649792403,-0.25371600396207,-0.499698781722315,1.10000738073852,-0.503251100114711,-0.281902246503874,0.336002072411406,0.0331660243864104,-0.574246283740069,-0.80878705549952,-0.311287424213746,1.11597433034403
"108",1097,"162.053_220257","2022-09-01",-78.0036204928875,34.0652302646467,35,0,1,"billjones",1,-0.905859932346534,0.670031698359022,-0.499698781722315,-0.381663156932405,0.485439007952642,-0.281902246503874,-0.974544481258911,-0.548215286088905,-0.730631160234432,-0.351268656272072,-0.763056274076286,0.846843828767831
"116",1105,"162.053_220257","2022-09-02",-78.0008563638742,34.0572226982505,NA,0,0,"billjones",1,-0.344691428845756,0.300532652228287,-0.499698781722315,0.426520806341191,-0.503251100114711,-0.281902246503874,0.0677172474915,-0.548215286088905,0.154590245477378,-0.804826883872423,0.80052986818588,-0.487551433727872
"131",1120,"162.053_220257","2022-09-28",-77.9858140493188,34.0614265429338,NA,0,0,"billjones",0,-1.06151556178466,0.817831282013614,-0.499698781722315,-0.336764062543557,-0.256078573097873,-0.281902246503874,-0.76079294249998,-0.548215286088905,0.873100261222026,-0.379508405689181,-0.67762572922703,0.293086982861482
"134",1123,"162.053_220257","2022-09-05",-78.0027014489782,34.064908569803,36,0,1,"billjones",1,-1.50805571548636,0.263582712817511,-0.499698781722315,0.516318995118891,-0.503251100114711,-0.281902246503874,-0.302477842812726,-0.548215286088905,-0.617785464796216,-0.564341210881126,-0.46695051597838,0.857759023126017
"147",1136,"162.053_220257","2022-09-05",-77.9912651956831,34.0648005955588,NA,0,0,"billjones",0,0.053228986147915,0.817831282013614,-0.499698781722315,-0.157167632133299,-0.503251100114711,-0.281902246503874,-0.691201843192857,-0.548215286088905,0.147848060360635,-0.655431338114103,-0.580767081062184,-0.00175238525018179
"164",1153,"162.053_220257","2022-09-12",-77.9991320486682,34.0731046658365,NA,0,0,"billjones",1,1.00317509488379,-1.58391269182467,-0.499698781722315,1.95309054411069,-0.503251100114711,1.45934164664248,0.792974982239362,1.60233231145079,-0.498027561847717,-0.80878705549952,0.291753133815429,-1.31870640280519
"166",1155,"162.053_220257","2022-09-16",-78.0026756897875,34.0641850669109,38,0,1,"billjones",1,0.771283353014608,-0.179816125140518,-0.499698781722315,1.05510844491425,-0.503251100114711,-0.281902246503874,0.584554515683056,-0.0432244273549822,-0.475860873663212,-0.80878705549952,0.00573687863828445,1.13990483731327
"171",1160,"162.053_220257","2022-09-21",-78.0034888896984,34.065127386785,38,0,1,"billjones",1,-1.0709166041578,0.596131993525979,-0.499698781722315,-0.0224702961118882,-0.256078573097873,-0.281902246503874,-0.849690310791915,-0.548215286088905,-0.717369674308697,-0.40939010563182,-0.698015053261055,0.832188033315041
"173",1162,"162.053_220257","2022-09-23",-77.9883410051408,34.0560686668133,NA,0,0,"billjones",1,1.29192614406998,0.706981637769795,-0.499698781722315,-0.112268484889587,-0.379664836606292,-0.281902246503874,0.0755884636902531,-0.548215286088905,-0.168531576497286,-0.802527008481905,-0.537036246639632,0.729017465577766
"174",1163,"162.053_220257","2022-09-19",-78.0042191454642,34.0664128882145,38,0,1,"billjones",0,-0.502241591792613,-0.0320164544916731,0.604712749663383,-0.830654259385485,1.59771533406444,-0.281902246503874,-1.07386920319603,-0.548215286088905,-0.961597373401482,0.435678209474752,-0.971093961034153,0.492435461193753
"175",1164,"162.053_220257","2022-09-21",-78.0109061870868,34.0599504285466,NA,0,0,"billjones",0,0.843262638315008,-0.549315258265507,0.139697335614731,0.651016331140301,0.361852717165838,-0.281902246503874,0.269086126613929,-0.180110674671411,-0.905322319715498,-0.80878705549952,-0.700426449831484,-0.371606351187156
"176",1165,"162.053_220257","2022-09-21",-77.9977795393633,34.0642339872743,NA,0,0,"billjones",1,-0.408276817169889,0.411382296472103,-0.499698781722315,-0.785755148479491,2.33923293330054,-0.281902246503874,-0.958056107835829,-0.548215286088905,-0.0481736032781502,0.123109542080546,-0.99316072828146,1.35322848375987
"185",1174,"162.053_220257","2022-09-09",-78.0037857954762,34.0650404920061,37,0,1,"billjones",1,-0.790547609919696,0.485282175293654,-0.499698781722315,-0.0224702961118882,0.11468020833459,-0.281902246503874,-0.800922541535928,-0.548215286088905,-0.703840730938958,-0.502538537687006,-0.709688977867194,0.932435392111602
