"","X","Bird.ID","Date","x","y","week","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water"
"4790",11756,"162.623_220835","2023-09-19",-77.9635368591213,34.0679556475428,38,1,1,"bigbay",0,1.09457301439776,1.03953074448976,-0.499698781722315,-0.830654259385485,0.485439007952642,-0.281902246503874,-0.368770470811026,-0.532529735410339,1.18101960761918,1.68386521534005,-1.03745657788065,-0.0159635560642525
"4797",11764,"162.623_220835","2023-09-15",-77.9637057693442,34.0688319759694,37,1,1,"bigbay",0,0.115438598197895,1.18733050213286,-0.499698781722315,-0.830654259385485,-0.00890604608103462,-0.281902246503874,-0.322145600354262,-0.548215286088905,1.09621628222328,0.999974313982476,-0.690743399111641,-0.381658773602615
"4806",11773,"162.623_220835","2023-09-19",-77.9714767575524,34.0657052721297,NA,1,0,"bigbay",0,0.0296572380505282,1.07648068390053,-0.499698781722315,-0.830654259385485,0.361852717165838,-0.281902246503874,-0.801171324024762,-0.548215286088905,0.184522903927468,3.10575878701215,-0.78734781212123,-0.75598859050564
"4813",11782,"162.623_220835","2023-09-13",-77.9641022147437,34.0709918223289,37,1,1,"bigbay",1,-0.451642324373588,-0.29066585637859,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.0770500193478633,-0.288739651893638,-0.336554250549319,0.9741087621833,0.757366767846804,0.298485248890387,-1.15163719633854
"4815",11784,"162.623_220835","2023-09-15",-77.9876658318477,34.0675323424318,NA,1,0,"bigbay",1,-0.973243555709918,0.633081758948246,-0.499698781722315,-0.830654259385485,1.10337031640194,0.230228313850204,-0.456004276406021,-0.548215286088905,-0.371083642319579,0.270371583615136,-0.812867717563232,-1.10870308622912
"4819",11788,"162.623_220835","2023-09-25",-77.9646984372486,34.0646846219042,NA,1,0,"bigbay",0,-0.0148120607800404,1.2612302069659,-0.499698781722315,-0.830654259385485,-0.503251100114711,-0.281902246503874,-0.158757650007454,-0.548215286088905,1.26056564987174,1.12263634149083,0.827561796281463,0.260766427028294
"4831",11800,"162.623_220835","2023-09-21",-77.9851474729137,34.0728264822902,NA,1,0,"bigbay",0,-0.0778355257668735,-0.327615795789366,1.53474350933415,-0.381663156932405,-0.503251100114711,-0.281902246503874,0.834328070063108,-0.51840703581196,-0.978315156331956,-0.466647583079408,-0.412039360870869,-0.527555420212057
"4832",11801,"162.623_220835","2023-09-07",-77.9873932137573,34.0739461768731,NA,1,0,"bigbay",0,0.996044283913471,-1.36221325109709,1.70912428104908,0.60611728960631,-0.503251100114711,-0.281902246503874,3.41138413662437,0.530530192818918,-0.978315156331956,-0.468988165250573,0.919205610690373,-1.00960000347896
"4840",11811,"162.623_220835","2023-09-01",-77.9635605530852,34.0685674399557,35,1,1,"bigbay",0,0.279633666958671,1.03953074448976,-0.499698781722315,-0.830654259385485,0.485439007952642,-0.281902246503874,-0.990778788461164,-0.548215286088905,1.14458921780923,1.3246070947628,-0.900755139332693,-0.235845172701711
"4859",11834,"162.623_220835","2023-09-21",-77.9880213533899,34.0702029456408,NA,1,0,"bigbay",0,0.772425153731926,-0.77101472074165,-0.499698781722315,1.86329224962327,-0.503251100114711,-0.281902246503874,0.855970236319324,0.321547325190259,-0.806785509055784,-0.80878705549952,0.522848000806362,-0.485300860279194
"4863",11838,"162.623_220835","2023-09-18",-77.9796721009891,34.0623630517574,NA,1,0,"bigbay",1,-3.82930033146654,-1.58391269182467,-0.499698781722315,2.71637541299543,-0.503251100114711,-0.281902246503874,4.31608748969623,5.25662000964704,0.402226297048064,-0.80878705549952,1.90387928796129,0.258483816699589
"4865",11841,"162.623_220835","2023-09-25",-77.9627718888597,34.068354547005,39,1,1,"bigbay",0,0.447788939144168,1.2612302069659,-0.499698781722315,-0.830654259385485,-0.256078573097873,-0.281902246503874,-0.721576880404119,-0.548215286088905,1.29120291032697,2.11471986362155,-0.62198396072556,-0.172318402404787
