"","X","Bird.ID","Date","x","y","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water","BurnDate1","BurnDate2","LastBurn"
"59",2096,"162.101_220291","2023-07-12",-77.998825645227,34.082755182178,1,1,"bluepond",1,0.709325551986694,0.544303774833679,0,0.481012672185898,0,0,44.2134857177734,10.3790254592896,412.919250488281,0,104.813720703125,73.3833847045898,NA,NA,NA
"60",2104,"162.101_220291","2023-03-01",-77.9905380229251,34.0730190159789,1,0,"bluepond",1,0.332561671733856,0,0,0.303797453641891,0,0.658227860927582,86.6694641113281,76.7955780029297,44.981258392334,3.12729954719543,140.61051940918,0,NA,NA,NA
"61",2105,"162.101_220291","2023-07-13",-78.00954083255,34.0819640325399,1,0,"bluepond",1,0.658961057662964,0.683544278144836,0,0.303797453641891,0,0,27.9462242126465,0.504016757011414,74.8607788085938,0,69.294548034668,152.228866577148,NA,NA,NA
"62",2107,"162.101_220291","2023-06-12",-78.0037878156804,34.0763817716789,1,0,"bluepond",1,0.663972556591034,0.164556965231895,0,0.822784781455994,0,0,91.9132232666016,20.245906829834,274.147857666016,0,116.179542541504,109.492874145508,NA,NA,NA
"63",2111,"162.101_220291","2023-01-19",-78.0010118502011,34.0749313442201,1,0,"bluepond",1,0.670009672641754,0.177215188741684,0,0.835443019866943,0,0,50.3782539367676,13.2076272964478,187.770172119141,0,106.772033691406,64.8675918579102,NA,NA,NA
"64",2112,"162.101_220291","2023-02-27",-78.0054343556293,34.0703241826774,1,0,"bluepond",1,0.66294527053833,0.0506329126656055,0.0126582281664014,0.962025344371796,0,0,59.7007484436035,23.6596260070801,35.471565246582,0,48.682258605957,130.032775878906,NA,NA,NA
"65",2137,"162.101_220291","2023-02-20",-77.999779721057,34.0745224644849,1,0,"bluepond",1,0.626307845115662,0.0253164563328028,0,0.886075973510742,0,0.113924048841,55.4154624938965,32.504695892334,140.189758300781,0,110.80834197998,15.9174766540527,NA,NA,NA
"66",2139,"162.101_220291","2023-04-25",-78.0023197136911,34.0758563673061,1,0,"bluepond",1,0.673783004283905,0.189873412251472,0,0.797468364238739,0,0,54.0744361877441,20.2937164306641,239.180068969727,0,107.559020996094,114.699661254883,NA,NA,NA
"67",2144,"162.101_220291","2023-01-18",-77.9895223811112,34.0789279256679,1,0,"bluepond",1,0.705935776233673,0.164556965231895,0,0.835443019866943,0,0,49.763671875,22.3382682800293,193.105865478516,0,65.533203125,91.1279525756836,NA,NA,NA
"68",2154,"162.101_220291","2023-07-03",-78.0084787433942,34.0809601531951,1,0,"bluepond",1,0.703890860080719,0.544303774833679,0,0.455696195363998,0.0126582281664014,0,28.2965869903564,9.85508632659912,119.33731842041,0,30.0558090209961,200.14338684082,NA,NA,NA
"69",2155,"162.101_220291","2023-08-01",-78.0061087296668,34.0760976279022,1,0,"bluepond",1,0.687494099140167,0.506329119205475,0,0.493670880794525,0,0,46.8158149719238,5.47234773635864,226.621978759766,0,103.566017150879,68.9099502563477,NA,NA,NA
"70",2159,"162.101_220291","2023-06-21",-78.0010517388994,34.0802334058144,1,0,"bluepond",1,0.713813185691833,0.468354433774948,0,0.544303774833679,0,0,30.8440036773682,12.2461280822754,351.737487792969,0,105.976341247559,120.477088928223,NA,NA,NA
"71",2162,"162.101_220291","2023-06-12",-78.0053216352626,34.0705523480671,1,0,"bluepond",1,0.657386004924774,0.126582279801369,0,0.898734152317047,0,0,57.028263092041,18.4252452850342,38.0766410827637,0,50.7678070068359,122.859588623047,NA,NA,NA
