"","X","Bird.ID","Date","x","y","week","yearBinary","response","course","burn_stat","ndvi","perc_mpine","perc_grassy","perc_decid","perc_bf","perc_water","DTN_road","DTN_mpine","DTN_grassy","DTN_decid","DTN_bf","DTN_water"
"3022",8412,"162.462_220881","2023-01-23",-77.969275358692,34.0726073363837,NA,1,0,"bigbay",1,-0.312084595246154,-1.58391269182467,-0.499698781722315,-0.112268484889587,-0.503251100114711,-0.281902246503874,3.53815761257796,4.30108476966258,0.117893497184998,-0.0956235137525083,2.71786998795353,-0.932318188316095
"3025",8415,"162.462_220881","2023-01-09",-77.974985344835,34.0602564809666,2,1,1,"bigbay",0,-0.275945972241405,0.152733068573695,-0.499698781722315,0.651016331140301,-0.503251100114711,-0.281902246503874,-1.10341384857873,-0.548215286088905,0.830580953756591,-0.72775273769027,-0.0868779412383738,-0.564078922829327
"3033",8423,"162.462_220881","2023-01-09",-77.9723085166677,34.0657688246228,NA,1,0,"bigbay",1,0.047735431074039,1.11343062331131,-0.499698781722315,-0.830654259385485,0.238266426379033,-0.281902246503874,-0.672708659274067,-0.548215286088905,0.073933246208996,2.39783536604962,-0.729074635857283,-0.671875101785299
"3037",8427,"162.462_220881","2023-01-11",-77.9771816733773,34.0697639195647,NA,1,0,"bigbay",1,0.702470855250703,-0.955764243807015,1.01160119418937,-0.830654259385485,1.10337031640194,-0.281902246503874,-0.379609437339736,0.580584043876257,-0.972568004083468,0.495247229739336,-0.78215796413245,0.166224829616025
"3041",8431,"162.462_220881","2023-01-18",-77.9828682051926,34.0620676938837,NA,1,0,"bigbay",1,-3.45104255376713,-1.58391269182467,-0.499698781722315,2.71637541299543,-0.503251100114711,-0.281902246503874,2.46587704127997,3.10626223143353,0.693968631098406,-0.80878705549952,0.63648338354674,-0.00448601369474233
"3059",8449,"162.462_220881","2023-01-06",-77.971511314921,34.069032555689,NA,1,0,"bigbay",1,-3.69270401663685,-0.80796457315817,-0.499698781722315,-0.830654259385485,-0.503251100114711,5.5563861294751,0.123716433967642,0.351095313084543,-0.126543272361724,1.11305560414242,0.997478429666396,-1.3592962046628
"3067",8458,"162.462_220881","2023-01-11",-77.9744472521832,34.0614428733561,2,1,1,"bigbay",0,0.277638858211312,0.670031698359022,-0.499698781722315,0.0224288511318233,-0.503251100114711,-0.281902246503874,-0.773499464424775,-0.548215286088905,0.624846108960358,-0.762209720808891,-0.422350210968954,-0.851547549968303
"3070",8461,"162.462_220881","2023-01-06",-77.9747231688244,34.060719006727,1,1,1,"bigbay",0,-0.148134580068568,0.263582712817511,-0.499698781722315,0.471419953584903,-0.503251100114711,-0.281902246503874,-0.819506300814359,-0.548215286088905,0.767847011880003,-0.504278981726277,-0.328076950137653,-0.727197998492913
"3383",9564,"162.515_220688","2023-01-18",-78.0018186030485,34.0727078787544,NA,1,0,"bluepond",1,1.00779157587035,-0.697114928914354,-0.499698781722315,1.68369587206787,-0.503251100114711,-0.281902246503874,-0.103310247728077,-0.0409026105297833,-0.390506614617418,-0.80878705549952,0.679363849129319,-1.00079333618596
"3389",9570,"162.515_220688","2023-01-23",-77.9951049312328,34.080799437137,NA,1,0,"bluepond",0,-0.337724878266361,-0.881864408482593,-0.499698781722315,-0.830654259385485,-0.503251100114711,5.96609043306816,0.255618300196678,-0.122241462481349,0.537441038611566,0.742006074254997,-0.357406374952685,-1.3592962046628
"3417",9598,"162.515_220688","2023-01-18",-77.9906918771272,34.0854573485587,NA,1,0,"bluepond",0,0.922518658933002,0.485282175293654,-0.499698781722315,0.246924323076069,-0.503251100114711,-0.281902246503874,-0.0576592097222915,-0.548215286088905,1.26336558043673,-0.719153669830103,0.413520175694298,-0.636166836998088
"3423",9604,"162.515_220688","2023-01-11",-78.0149289602477,34.0850044600366,NA,1,0,"bluepond",0,0.884136735589515,0.780881516591347,-0.499698781722315,-0.0224702961118882,-0.503251100114711,-0.281902246503874,1.07913068938119,-0.548215286088905,-0.467458176239339,-0.766537651827498,-0.180915784409137,-0.800839701343233
"3426",9607,"162.515_220688","2023-01-02",-78.0008668886392,34.0836294861398,NA,1,0,"bluepond",0,0.891008931944358,1.2612302069659,-0.499698781722315,-0.830654259385485,-0.256078573097873,-0.281902246503874,-0.890596862295851,-0.548215286088905,0.78794467207649,0.31929471529053,-0.674844264735505,0.0322663337076617
"3427",9608,"162.515_220688","2023-01-19",-78.0060126385126,34.0849448909206,NA,1,0,"bluepond",0,1.13698504733233,-0.216766064551294,-0.499698781722315,1.05510844491425,-0.503251100114711,-0.281902246503874,0.796659775645286,-0.484213789269186,-0.0355361412600017,-0.80878705549952,-0.436211996226363,1.22338752612028
"3432",9613,"162.515_220688","2023-01-25",-78.0099033504085,34.0862331236238,NA,1,0,"bluepond",0,0.563317474085562,1.22428044154363,-0.499698781722315,-0.830654259385485,-0.13249233686784,-0.281902246503874,-0.703194654857249,-0.548215286088905,-0.644486878204449,0.332287372251333,-0.70314935837267,0.304296277168246
"3465",9646,"162.515_220688","2023-01-11",-78.0184023545982,34.0855751073912,NA,1,0,"bluepond",0,0.587598979872072,-0.77101472074165,-0.499698781722315,1.72859501931158,-0.503251100114711,-0.281902246503874,0.109556032217971,-0.37608684985117,0.0354143823791631,-0.80878705549952,1.48955398369239,-0.192883994555906
"3480",9661,"162.515_220688","2023-01-02",-77.9938882843383,34.0821411225393,1,1,1,"bluepond",0,-0.416475320681152,0.152733068573695,-0.499698781722315,-0.785755148479491,-0.503251100114711,2.89330719151886,-0.0298865324514089,-0.0985769940010263,0.811286019794994,-0.0739643478433888,-0.0643771066902673,-1.3592962046628
"3483",9664,"162.515_220688","2023-01-30",-77.995310733353,34.0841325209759,5,1,1,"bluepond",1,1.04506455057469,0.633081758948246,-0.499698781722315,0.0224288511318233,0.361852717165838,-0.281902246503874,-0.160499005497014,-0.548215286088905,1.20589547821998,-0.470274792692514,-0.776375876713909,-0.87231707319199
"3509",9690,"162.515_220688","2023-01-30",-78.0078761629382,34.0707151474264,NA,1,0,"bluepond",0,1.18033985851058,0.633081758948246,-0.499698781722315,0.246924323076069,-0.503251100114711,-0.281902246503874,0.198504815286636,-0.208586286004127,-0.534872986602112,-0.80878705549952,-0.116760236555389,-0.0576445794007926
